Time,Credit,dti
1-Oct-05,A,0.07015
1-Oct-05,AA,0.051688333
1-Oct-05,B,0.012275
1-Oct-05,C,0.1926
1-Oct-05,D,0.3838
1-Oct-05,E,0.01783
1-Oct-05,HR,0.019595
1-Oct-05,NC,0.03826
1-Jan-06,A,0.139533056
1-Jan-06,AA,0.089864615
1-Jan-06,B,0.147320857
1-Jan-06,C,0.156341765
1-Jan-06,D,0.165369189
1-Jan-06,E,0.146355135
1-Jan-06,HR,0.101149825
1-Jan-06,NC,0.083437143
1-Apr-06,A,0.157393661
1-Apr-06,AA,0.125695586
1-Apr-06,B,0.188670952
1-Apr-06,C,0.17111704
1-Apr-06,D,0.196164159
1-Apr-06,E,0.167550047
1-Apr-06,HR,0.109226779
1-Apr-06,NC,0.035958
1-Jul-06,A,0.272013423
1-Jul-06,AA,0.131847134
1-Jul-06,B,0.237439614
1-Jul-06,C,0.280550162
1-Jul-06,D,0.266446541
1-Jul-06,E,0.198625
1-Jul-06,HR,0.165771429
1-Jul-06,NC,0.0615
1-Oct-06,A,0.228181818
1-Oct-06,AA,0.201382979
1-Oct-06,B,0.500348259
1-Oct-06,C,0.422274247
1-Oct-06,D,0.451073298
1-Oct-06,E,0.315452716
1-Oct-06,HR,0.252242525
1-Oct-06,NC,0.1325
1-Jan-07,A,0.462851711
1-Jan-07,AA,0.34326284
1-Jan-07,B,0.410778443
1-Jan-07,C,0.499658635
1-Jan-07,D,0.516863469
1-Jan-07,E,0.353227273
1-Jan-07,HR,0.303866232
1-Jan-07,NC,0.074285714
1-Apr-07,A,0.804780059
1-Apr-07,AA,0.658428571
1-Apr-07,B,0.68462754
1-Apr-07,C,0.65685567
1-Apr-07,D,0.658291536
1-Apr-07,E,0.518918919
1-Apr-07,HR,0.374111922
1-Jul-07,A,0.298377483
1-Jul-07,AA,0.31030303
1-Jul-07,B,0.361328671
1-Jul-07,C,0.284058219
1-Jul-07,D,0.29629771
1-Jul-07,E,0.233976834
1-Jul-07,HR,0.283545455
1-Oct-07,A,0.337466307
1-Oct-07,AA,0.340161812
1-Oct-07,B,0.530207373
1-Oct-07,C,0.323697479
1-Oct-07,D,0.298004695
1-Oct-07,E,0.298079096
1-Oct-07,HR,0.260335196
1-Jan-08,A,0.263410256
1-Jan-08,AA,0.216441048
1-Jan-08,B,0.333220641
1-Jan-08,C,0.264805825
1-Jan-08,D,0.281564356
1-Jan-08,E,0.256996198
1-Jan-08,HR,0.256290323
1-Apr-08,A,0.258919926
1-Apr-08,AA,0.227176259
1-Apr-08,B,0.279645892
1-Apr-08,C,0.266015201
1-Apr-08,D,0.267561608
1-Apr-08,E,0.247518519
1-Apr-08,HR,0.202727273
1-Jul-08,A,0.231413613
1-Jul-08,AA,0.200925
1-Jul-08,B,0.257976879
1-Jul-08,C,0.26186686
1-Jul-08,D,0.240913706
1-Jul-08,E,0.234655172
1-Jul-08,HR,0.198421053
1-Oct-08,A,0.226216216
1-Oct-08,AA,0.166440678
1-Oct-08,B,0.226976744
1-Oct-08,C,0.2477
1-Oct-08,D,0.247361111
