Time,Category,AvgIncome
1-Oct-05,0,11123.10606
1-Jan-06,0,5977.043386
1-Apr-06,0,5221.326356
1-Jul-06,0,4763.024647
1-Oct-06,0,4317.121723
1-Jan-07,0,4650.050016
1-Apr-07,0,4666.851213
1-Jul-07,0,4590.573755
1-Oct-07,0,4640.526214
1-Oct-07,1,5069.763468
1-Oct-07,2,4498.983333
1-Oct-07,3,5275.048701
1-Oct-07,4,5165.092836
1-Oct-07,5,3562.115385
1-Oct-07,6,2543.611111
1-Oct-07,7,5360.9
1-Jan-08,1,4762.228025
1-Jan-08,2,5936.813686
1-Jan-08,3,5172.350585
1-Jan-08,4,4311.686778
1-Jan-08,5,3125.437229
1-Jan-08,6,3753.62381
1-Jan-08,7,5985.103623
1-Apr-08,1,4398.92562
1-Apr-08,2,5875.164167
1-Apr-08,3,4911.37328
1-Apr-08,4,4246.019471
1-Apr-08,5,2613.905025
1-Apr-08,6,3310.455508
1-Apr-08,7,4458.162927
1-Jul-08,1,4690.549459
1-Jul-08,2,5615.551747
1-Jul-08,3,5339.291205
1-Jul-08,4,3938.786458
1-Jul-08,5,3276.47433
1-Jul-08,6,3824.627493
1-Jul-08,7,4634.396307
1-Oct-08,1,4709.483796
1-Oct-08,2,6892.107143
1-Oct-08,3,6537.247992
1-Oct-08,5,2812.791667
1-Oct-08,6,3331.0625
1-Oct-08,7,4584.644809
1-Apr-09,1,4322.666667
1-Apr-09,3,6166.666667
1-Apr-09,5,1160
1-Apr-09,6,3801.166667
1-Apr-09,7,5992.1875
1-Jul-09,1,5034.796993
1-Jul-09,2,6125.926724
1-Jul-09,3,5325.598611
1-Jul-09,5,3457.862403
1-Jul-09,6,3429.82598
1-Jul-09,7,4620.921371
1-Oct-09,1,5334.989975
1-Oct-09,2,5834.879975
1-Oct-09,3,5955.775433
1-Oct-09,5,3330.411184
1-Oct-09,6,4527.499053
1-Oct-09,7,4861.925201
1-Jan-10,1,5600.869985
1-Jan-10,2,6239.233844
