Time,Credit,AvgIncome
1-Oct-05,A,12500
1-Oct-05,AA,11343.75
1-Oct-05,B,16666.66667
1-Oct-05,C,5000
1-Oct-05,D,1083.333333
1-Oct-05,E,10000
1-Oct-05,HR,18750
1-Oct-05,NC,4166.666667
1-Jan-06,A,8470.138889
1-Jan-06,AA,8829.097484
1-Jan-06,B,7247.080952
1-Jan-06,C,5882.210784
1-Jan-06,D,4247.997748
1-Jan-06,E,4544.813063
1-Jan-06,HR,3652.957602
1-Jan-06,NC,2523.148148
1-Apr-06,A,6364.054315
1-Apr-06,AA,8641.694444
1-Apr-06,B,6100.689038
1-Apr-06,C,5133.928148
1-Apr-06,D,4897.112539
1-Apr-06,E,4535.28482
1-Apr-06,HR,3535.900079
1-Apr-06,NC,2701.679825
1-Jul-06,A,5473.739583
1-Jul-06,AA,7162.541139
1-Jul-06,B,5504.32496
1-Jul-06,C,5205.596774
1-Jul-06,D,4127.718008
1-Jul-06,E,4716.069686
1-Jul-06,HR,3304.616097
1-Jul-06,NC,3218.270833
1-Oct-06,A,6813.650699
1-Oct-06,AA,7474.846631
1-Oct-06,B,5001.334975
1-Oct-06,C,4850.328366
1-Oct-06,D,3947.008442
1-Oct-06,E,3872.622178
1-Oct-06,HR,2949.176139
1-Oct-06,NC,1979.959184
1-Jan-07,A,5106.824561
1-Jan-07,AA,7448.758759
1-Jan-07,B,5514.444196
1-Jan-07,C,4795.368858
1-Jan-07,D,4173.832265
1-Jan-07,E,4220.618024
1-Jan-07,HR,3224.257943
1-Jan-07,NC,2236.638095
1-Apr-07,A,4898.271017
1-Apr-07,AA,6626.515829
1-Apr-07,B,5031.099402
1-Apr-07,C,4846.156393
1-Apr-07,D,4131.695223
1-Apr-07,E,4151.987988
1-Apr-07,HR,3380.321256
1-Jul-07,A,4585.521282
1-Jul-07,AA,6582.905276
1-Jul-07,B,4829.471418
1-Jul-07,C,4613.654861
1-Jul-07,D,4153.508161
1-Jul-07,E,4085.253181
1-Jul-07,HR,3223.918879
1-Oct-07,A,5510.04522
1-Oct-07,AA,6075.130665
1-Oct-07,B,4671.825448
1-Oct-07,C,4648.938871
1-Oct-07,D,3904.397318
1-Oct-07,E,4114.39825
1-Oct-07,HR,3363.496847
1-Jan-08,A,5204.832506
1-Jan-08,AA,6248.485965
1-Jan-08,B,4953.050141
1-Jan-08,C,4391.675529
1-Jan-08,D,4100.365865
1-Jan-08,E,4236.178571
1-Jan-08,HR,3077.978509
1-Apr-08,A,4936.611397
1-Apr-08,AA,5790.068975
1-Apr-08,B,4485.004839
1-Apr-08,C,4229.886356
1-Apr-08,D,3768.812813
1-Apr-08,E,3792.232699
1-Apr-08,HR,3229.862447
1-Jul-08,A,5151.702882
1-Jul-08,AA,6379.95347
1-Jul-08,B,5367.4592
1-Jul-08,C,4455.678446
1-Jul-08,D,3780.523531
1-Jul-08,E,3955.383018
1-Jul-08,HR,3218.231201
1-Oct-08,A,6083.663889
1-Oct-08,AA,6716.888158
1-Oct-08,B,5184.523693
1-Oct-08,C,4419.703704
1-Oct-08,D,3825.185307
1-Oct-08,E,3681.381783
1-Oct-08,HR,3717.831081
1-Apr-09,A,5166.666667
1-Apr-09,AA,3750
1-Apr-09,B,6961.805556
1-Apr-09,C,3369.333333
1-Apr-09,D,3027.25
1-Jul-09,A,4950.116915
1-Jul-09,AA,5634.058429
1-Jul-09,B,5570.605856
1-Jul-09,C,5501.14693
1-Jul-09,D,4199.226449
1-Jul-09,E,3699.890523
1-Jul-09,HR,3750.598485
1-Oct-09,A,5297.393261
1-Oct-09,AA,6396.046429
1-Oct-09,B,5534.842896
1-Oct-09,C,5424.56099
1-Oct-09,D,4551.245505
1-Oct-09,E,4656.663146
1-Oct-09,HR,4313.09407
1-Jan-10,A,5366.948546
1-Jan-10,AA,6488.557592
1-Jan-10,B,4999.627033
1-Jan-10,C,5944.585961
1-Jan-10,D,4667.986967
1-Jan-10,E,4469.529825
1-Jan-10,HR,4239.959974
1-Apr-10,A,5364.4913
1-Apr-10,AA,6703.74328
1-Apr-10,B,5201.965863
1-Apr-10,C,4880.237693
1-Apr-10,D,4441.484705
1-Apr-10,E,4354.697674
1-Apr-10,HR,4114.39532
1-Jul-10,A,5912.893389
1-Jul-10,AA,6881.076291
1-Jul-10,B,6113.473236
1-Jul-10,C,5750.685096
1-Jul-10,D,4837.757551
1-Jul-10,E,4692.105655
1-Jul-10,HR,4603.845622
1-Oct-10,A,6723.182377
1-Oct-10,AA,8117.772917
1-Oct-10,B,5681.278846
1-Oct-10,C,5989.97043
1-Oct-10,D,5738.660877
1-Oct-10,E,4293.254552
1-Oct-10,HR,4456.382544
1-Jan-11,A,6594.350091
1-Jan-11,AA,8070.000975
1-Jan-11,B,6870.77594
1-Jan-11,C,5498.428005
1-Jan-11,D,5251.75214
1-Jan-11,E,5243.175786
1-Jan-11,HR,4124.280928
1-Apr-11,A,6011.158072
1-Apr-11,AA,8560.052711
1-Apr-11,B,5949.131313
1-Apr-11,C,5778.638095
1-Apr-11,D,4992.136512
1-Apr-11,E,5983.396449
1-Apr-11,HR,6066.805351
1-Jul-11,A,6527.992813
1-Jul-11,AA,8643.503401
1-Jul-11,B,6667.639937
1-Jul-11,C,5676.015319
1-Jul-11,D,5221.309829
1-Jul-11,E,4687.791439
1-Jul-11,HR,4539.844005
1-Oct-11,A,6639.144729
1-Oct-11,AA,8235.715517
1-Oct-11,B,6148.828037
1-Oct-11,C,5472.542411
1-Oct-11,D,4952.110801
1-Oct-11,E,4811.896021
1-Oct-11,HR,4945.780872
1-Jan-12,A,6563.492251
1-Jan-12,AA,7482.520215
1-Jan-12,B,5599.993153
1-Jan-12,C,5214.555072
1-Jan-12,D,4787.045699
1-Jan-12,E,5177.777232
1-Jan-12,HR,6820.751837
1-Apr-12,A,7198.741667
1-Apr-12,AA,9077.684444
1-Apr-12,B,6262.742555
1-Apr-12,C,5142.313987
1-Apr-12,D,4963.287567
1-Apr-12,E,5157.712291
1-Apr-12,HR,4697.559411
1-Jul-12,A,6709.468842
1-Jul-12,AA,7403.636293
1-Jul-12,B,6082.30599
1-Jul-12,C,5500.829603
1-Jul-12,D,5224.955765
1-Jul-12,E,5571.55886
1-Jul-12,HR,4941.970113
1-Oct-12,A,6542.129506
1-Oct-12,AA,7015.033912
1-Oct-12,B,6193.738665
1-Oct-12,C,5591.949982
1-Oct-12,D,5191.489829
1-Oct-12,E,5086.542062
1-Oct-12,HR,4819.464039
1-Jan-13,A,7023.262749
1-Jan-13,AA,9130.370833
1-Jan-13,B,6654.992352
1-Jan-13,C,6425.629911
1-Jan-13,D,6566.010783
1-Jan-13,E,5020.076518
1-Jan-13,HR,2706.494718
1-Apr-13,A,7200.754001
1-Apr-13,AA,7956.880743
1-Apr-13,B,6663.315983
1-Apr-13,C,5875.533872
1-Apr-13,D,5312.056394
1-Apr-13,E,5001.68586
1-Apr-13,HR,2609.439842
1-Jul-13,A,7067.620604
1-Jul-13,AA,7860.019389
1-Jul-13,B,6522.38145
1-Jul-13,C,5945.420535
1-Jul-13,D,5564.407016
1-Jul-13,E,4939.810497
1-Jul-13,HR,3689.367816
1-Oct-13,A,7075.717671
1-Oct-13,AA,7913.345039
1-Oct-13,B,6632.610725
1-Oct-13,C,6009.721918
1-Oct-13,D,4975.185373
1-Oct-13,E,4838.775253
1-Oct-13,HR,4305.06927
1-Jan-14,A,6755.63854
1-Jan-14,AA,7649.95864
1-Jan-14,B,6691.271418
1-Jan-14,C,6022.094845
1-Jan-14,D,5054.744782
1-Jan-14,E,5143.428656
1-Jan-14,HR,4368.045307
