Time,Category,num
1-Oct-05,Not Available,22
1-Jan-06,Not Available,315
1-Apr-06,Not Available,1254
1-Jul-06,Not Available,1934
1-Oct-06,Not Available,2403
1-Jan-07,Not Available,3079
1-Apr-07,Not Available,3118
1-Jul-07,Not Available,2671
1-Oct-07,Not Available,2149
1-Oct-07,Debt Consolidation,198
1-Oct-07,Home Improvement,15
1-Oct-07,Business,77
1-Oct-07,Personal Loan,114
1-Oct-07,Other,20
1-Jan-08,Debt Consolidation,1369
1-Jan-08,Home Improvement,123
1-Jan-08,Business,541
1-Jan-08,Personal Loan,779
1-Jan-08,Other,115
1-Apr-08,Debt Consolidation,1666
1-Apr-08,Home Improvement,200
1-Apr-08,Business,630
1-Apr-08,Personal Loan,1438
1-Apr-08,Other,156
1-Jul-08,Debt Consolidation,1572
1-Jul-08,Home Improvement,248
1-Jul-08,Business,542
1-Jul-08,Personal Loan,64
1-Jul-08,Other,835
1-Oct-08,Debt Consolidation,252
1-Oct-08,Home Improvement,35
1-Oct-08,Business,83
1-Oct-08,Other,122
1-Apr-09,Debt Consolidation,5
1-Apr-09,Business,1
1-Apr-09,Other,4
1-Jul-09,Debt Consolidation,266
1-Jul-09,Home Improvement,58
1-Jul-09,Business,60
1-Jul-09,Other,124
1-Oct-09,Debt Consolidation,665
1-Oct-09,Home Improvement,134
1-Oct-09,Business,154
1-Oct-09,Other,332
1-Jan-10,Debt Consolidation,648
1-Jan-10,Home Improvement,98
1-Jan-10,Business,108
1-Jan-10,Other,273
1-Apr-10,Debt Consolidation,703
1-Apr-10,Home Improvement,151
1-Apr-10,Business,151
1-Apr-10,Other,373
1-Jul-10,Debt Consolidation,571
1-Jul-10,Home Improvement,123
1-Jul-10,Business,126
1-Jul-10,Other,356
1-Oct-10,Debt Consolidation,755
1-Oct-10,Home Improvement,163
1-Oct-10,Business,165
1-Oct-10,Other,429
1-Jan-11,Debt Consolidation,807
1-Jan-11,Home Improvement,179
1-Jan-11,Business,188
1-Jan-11,Other,464
1-Apr-11,Debt Consolidation,1157
1-Apr-11,Home Improvement,301
1-Apr-11,Business,242
1-Apr-11,Other,605
1-Jul-11,Debt Consolidation,1524
1-Jul-11,Home Improvement,349
1-Jul-11,Business,338
1-Jul-11,Other,722
1-Oct-11,Debt Consolidation,1886
1-Oct-11,Home Improvement,422
1-Oct-11,Business,430
1-Oct-11,Other,906
1-Oct-11,Household Expenses,11
1-Jan-12,Debt Consolidation,1997
1-Jan-12,Home Improvement,461
1-Jan-12,Business,467
1-Jan-12,Other,466
1-Jan-12,Household Expenses,214
1-Apr-12,Debt Consolidation,2154
1-Apr-12,Home Improvement,649
1-Apr-12,Business,470
1-Apr-12,Other,483
1-Apr-12,Household Expenses,294
1-Jul-12,Debt Consolidation,2754
1-Jul-12,Home Improvement,632
1-Jul-12,Business,442
1-Jul-12,Other,504
1-Jul-12,Household Expenses,338
1-Oct-12,Debt Consolidation,2447
1-Oct-12,Home Improvement,410
1-Oct-12,Business,307
1-Oct-12,Other,358
1-Oct-12,Household Expenses,277
1-Jan-13,Debt Consolidation,2163
1-Jan-13,Home Improvement,322
1-Jan-13,Business,252
1-Jan-13,Other,236
1-Jan-13,Household Expenses,113
1-Apr-13,Debt Consolidation,4923
1-Apr-13,Home Improvement,622
1-Apr-13,Business,282
1-Apr-13,Other,391
1-Apr-13,Household Expenses,160
1-Jul-13,Debt Consolidation,6793
1-Jul-13,Home Improvement,605
1-Jul-13,Business,354
1-Jul-13,Other,466
1-Jul-13,Household Expenses,230
1-Oct-13,Debt Consolidation,11394
1-Oct-13,Home Improvement,654
1-Oct-13,Business,427
1-Oct-13,Other,935
1-Oct-13,Household Expenses,219
1-Jan-14,Debt Consolidation,9639
1-Jan-14,Home Improvement,479
1-Jan-14,Business,352
1-Jan-14,Other,819
1-Jan-14,Household Expenses,140
