Time,Credit,num
1-Oct-05,A,1
1-Oct-05,AA,12
1-Oct-05,B,2
1-Oct-05,C,2
1-Oct-05,D,1
1-Oct-05,E,1
1-Oct-05,HR,2
1-Oct-05,NC,1
1-Jan-06,A,36
1-Jan-06,AA,53
1-Jan-06,B,35
1-Jan-06,C,51
1-Jan-06,D,37
1-Jan-06,E,37
1-Jan-06,HR,57
1-Jan-06,NC,9
1-Apr-06,A,112
1-Apr-06,AA,111
1-Apr-06,B,149
1-Apr-06,C,225
1-Apr-06,D,214
1-Apr-06,E,213
1-Apr-06,HR,211
1-Apr-06,NC,19
1-Jul-06,A,152
1-Jul-06,AA,158
1-Jul-06,B,209
1-Jul-06,C,310
1-Jul-06,D,323
1-Jul-06,E,403
1-Jul-06,HR,351
1-Jul-06,NC,28
1-Oct-06,A,167
1-Oct-06,AA,188
1-Oct-06,B,203
1-Oct-06,C,302
1-Oct-06,D,385
1-Oct-06,E,502
1-Oct-06,HR,607
1-Oct-06,NC,49
1-Jan-07,A,266
1-Jan-07,AA,333
1-Jan-07,B,336
1-Jan-07,C,502
1-Jan-07,D,546
1-Jan-07,E,442
1-Jan-07,HR,619
1-Jan-07,NC,35
1-Apr-07,A,341
1-Apr-07,AA,358
1-Apr-07,B,446
1-Apr-07,C,584
1-Apr-07,D,642
1-Apr-07,E,333
1-Apr-07,HR,414
1-Jul-07,A,325
1-Jul-07,AA,278
1-Jul-07,B,449
1-Jul-07,C,600
1-Jul-07,D,531
1-Jul-07,E,262
1-Jul-07,HR,226
1-Oct-07,A,387
1-Oct-07,AA,331
1-Oct-07,B,465
1-Oct-07,C,608
1-Oct-07,D,435
1-Oct-07,E,181
1-Oct-07,HR,185
1-Jan-08,A,403
1-Jan-08,AA,475
1-Jan-08,B,590
1-Jan-08,C,630
1-Jan-08,D,520
1-Jan-08,E,266
1-Jan-08,HR,190
1-Apr-08,A,582
1-Apr-08,AA,621
1-Apr-08,B,775
1-Apr-08,C,965
1-Apr-08,D,800
1-Apr-08,E,289
1-Apr-08,HR,312
1-Jul-08,A,451
1-Jul-08,AA,514
1-Jul-08,B,625
1-Jul-08,C,757
1-Jul-08,D,641
1-Jul-08,E,317
1-Jul-08,HR,297
1-Oct-08,A,90
1-Oct-08,AA,76
1-Oct-08,B,102
1-Oct-08,C,108
1-Oct-08,D,76
1-Oct-08,E,43
1-Oct-08,HR,37
1-Apr-09,A,2
1-Apr-09,AA,1
1-Apr-09,B,3
1-Apr-09,C,5
1-Apr-09,D,2
1-Jul-09,A,134
1-Jul-09,AA,87
1-Jul-09,B,37
1-Jul-09,C,114
1-Jul-09,D,92
1-Jul-09,E,51
1-Jul-09,HR,44
1-Oct-09,A,324
1-Oct-09,AA,210
1-Oct-09,B,61
1-Oct-09,C,276
1-Oct-09,D,241
1-Oct-09,E,142
1-Oct-09,HR,163
1-Jan-10,A,298
1-Jan-10,AA,191
1-Jan-10,B,82
1-Jan-10,C,222
1-Jan-10,D,211
1-Jan-10,E,95
1-Jan-10,HR,127
1-Apr-10,A,364
1-Apr-10,AA,186
1-Apr-10,B,83
1-Apr-10,C,237
1-Apr-10,D,316
1-Apr-10,E,129
1-Apr-10,HR,203
1-Jul-10,A,179
1-Jul-10,AA,142
1-Jul-10,B,137
1-Jul-10,C,104
1-Jul-10,D,309
1-Jul-10,E,168
1-Jul-10,HR,217
1-Oct-10,A,122
1-Oct-10,AA,120
1-Oct-10,B,234
1-Oct-10,C,31
1-Oct-10,D,475
1-Oct-10,E,238
1-Oct-10,HR,359
1-Jan-11,A,184
