Time,Category,prin
1-Oct-05,0,0
1-Jan-06,0,0
1-Apr-06,0,0
1-Jul-06,0,0
1-Oct-06,0,0
1-Jan-07,0,0
1-Apr-07,0,0
1-Jul-07,0,4702.133333
1-Oct-07,0,5802.142857
1-Oct-07,1,6694.206897
1-Oct-07,2,5100
1-Oct-07,3,7889.357143
1-Oct-07,4,4551.5625
1-Oct-07,5,4825
1-Oct-07,6,1775
1-Oct-07,7,10366.66667
1-Jan-08,1,5620.591751
1-Jan-08,2,6364.567568
1-Jan-08,3,7927.979592
1-Jan-08,4,5514.141414
1-Jan-08,5,3822.545455
1-Jan-08,6,4213.333333
1-Jan-08,7,5991.657143
1-Apr-08,1,5614.89375
1-Apr-08,2,6412.431818
1-Apr-08,3,9773.969231
1-Apr-08,4,5631.606061
1-Apr-08,5,4830
1-Apr-08,6,5209.615385
1-Apr-08,7,4664.411765
1-Jul-08,1,5585.596774
1-Jul-08,2,5239.267857
1-Jul-08,3,8476.311558
1-Jul-08,4,6768.272727
1-Jul-08,5,5595
1-Jul-08,6,4984.782609
1-Jul-08,7,6044.792308
1-Oct-08,1,6277.162162
1-Oct-08,2,10800
1-Oct-08,3,10256.92857
1-Oct-08,5,1750
1-Oct-08,6,6000
1-Oct-08,7,7076.529412
1-Apr-09,1,5620.4
1-Apr-09,3,15500
1-Apr-09,5,1000
1-Apr-09,6,5000
1-Apr-09,7,4250
1-Jul-09,1,6092.724832
1-Jul-09,2,6166.107143
1-Jul-09,3,7086.458333
1-Jul-09,5,4281.576923
1-Jul-09,6,3115.384615
1-Jul-09,7,5466.945205
1-Oct-09,1,6256.524528
1-Oct-09,2,6619.166667
1-Oct-09,3,6464.830189
1-Oct-09,5,4862.75
1-Oct-09,6,6928.37931
1-Oct-09,7,5740.103448
1-Jan-10,1,6386.560847
1-Jan-10,2,7359.472222
1-Jan-10,3,6899.368421
1-Jan-10,5,2828.571429
1-Jan-10,6,5045.827586
1-Jan-10,7,5598
1-Apr-10,1,6354.979839
1-Apr-10,2,8002.02
1-Apr-10,3,5004.102041
1-Apr-10,5,5211.681818
1-Apr-10,6,3963
1-Apr-10,7,5366.310606
1-Jul-10,1,6157.505556
1-Jul-10,2,7981.54717
1-Jul-10,3,9176.921053
1-Jul-10,5,3427.363636
1-Jul-10,6,6615.16
1-Jul-10,7,5577.203884
1-Oct-10,1,6717.440613
1-Oct-10,2,6922.055556
1-Oct-10,3,7767.774194
1-Oct-10,6,5654.285714
1-Oct-10,7,5142.717391
1-Jan-11,0,3950
1-Jan-11,1,7018.539604
1-Jan-11,2,7408.710526
1-Jan-11,3,7236.735294
1-Jan-11,6,6829.344828
1-Jan-11,7,7253.932584
1-Apr-11,0,6121.333333
1-Apr-11,1,6814.775556
1-Apr-11,2,7964.622047
1-Apr-11,3,10011.62
1-Apr-11,6,5190.415584
1-Apr-11,7,6585.309091
1-Jul-11,0,7892
1-Jul-11,1,7523.253067
1-Jul-11,2,7547.655844
1-Jul-11,3,8091.584071
1-Jul-11,6,5199.333333
1-Jul-11,7,6529.684729
1-Oct-11,0,15000
1-Oct-11,1,6964.367986
1-Oct-11,2,6513.243952
1-Oct-11,3,8497.935232
1-Oct-11,6,6252.864198
1-Oct-11,7,7170.392282
1-Oct-11,8,3500
1-Oct-11,11,2000
1-Oct-11,12,3000
1-Oct-11,13,8000.2
1-Oct-11,14,0
1-Oct-11,15,4214.285714
1-Oct-11,18,7500
1-Oct-11,19,0
1-Oct-11,20,6000
1-Jan-12,1,7780.981421
1-Jan-12,2,8498.530809
1-Jan-12,3,9680.880364
1-Jan-12,6,8502.72825
1-Jan-12,7,6576.035326
1-Jan-12,8,6500
1-Jan-12,9,6000
1-Jan-12,10,5525
