Time,Credit,amt
1-Oct-05,A,0
1-Oct-05,AA,0
1-Oct-05,B,0
1-Oct-05,C,0
1-Oct-05,D,0
1-Oct-05,E,0
1-Oct-05,HR,0
1-Oct-05,NC,0
1-Jan-06,A,0
1-Jan-06,AA,0
1-Jan-06,B,0
1-Jan-06,C,0
1-Jan-06,D,0
1-Jan-06,E,0
1-Jan-06,HR,0
1-Jan-06,NC,0
1-Apr-06,A,0
1-Apr-06,AA,0
1-Apr-06,B,0
1-Apr-06,C,0
1-Apr-06,D,0
1-Apr-06,E,0
1-Apr-06,HR,0
1-Apr-06,NC,0
1-Jul-06,A,0
1-Jul-06,AA,0
1-Jul-06,B,0
1-Jul-06,C,0
1-Jul-06,D,0
1-Jul-06,E,0
1-Jul-06,HR,0
1-Jul-06,NC,0
1-Oct-06,A,0
1-Oct-06,AA,0
1-Oct-06,B,0
1-Oct-06,C,0
1-Oct-06,D,0
1-Oct-06,E,0
1-Oct-06,HR,0
1-Oct-06,NC,0
1-Jan-07,A,0
1-Jan-07,AA,0
1-Jan-07,B,0
1-Jan-07,C,0
1-Jan-07,D,0
1-Jan-07,E,0
1-Jan-07,HR,0
1-Jan-07,NC,0
1-Apr-07,A,0
1-Apr-07,AA,0
1-Apr-07,B,0
1-Apr-07,C,0
1-Apr-07,D,0
1-Apr-07,E,0
1-Apr-07,HR,0
1-Jul-07,A,2650
1-Jul-07,AA,10428
1-Jul-07,B,4625
1-Jul-07,C,4781.25
1-Jul-07,D,2888.888889
1-Jul-07,E,4500
1-Jul-07,HR,1525
1-Oct-07,A,7104.093023
1-Oct-07,AA,4911.7
1-Oct-07,B,6376.454545
1-Oct-07,C,6943.834951
1-Oct-07,D,5483.065574
1-Oct-07,E,4205.263158
1-Oct-07,HR,3877.24
1-Jan-08,A,7588.84127
1-Jan-08,AA,6715.462963
1-Jan-08,B,7777.201835
1-Jan-08,C,7053.111635
1-Jan-08,D,4689.3
1-Jan-08,E,4232.035714
1-Jan-08,HR,2605.018182
1-Apr-08,A,8552.928571
1-Apr-08,AA,7971.431034
1-Apr-08,B,7488.547619
1-Apr-08,C,5269.252336
1-Apr-08,D,5623.637363
1-Apr-08,E,3245.028571
1-Apr-08,HR,2508.823529
1-Jul-08,A,9016.544444
1-Jul-08,AA,7275.388889
1-Jul-08,B,6538.885417
1-Jul-08,C,5174.413707
1-Jul-08,D,4631.8875
1-Jul-08,E,3685.09375
1-Jul-08,HR,2183.590909
1-Oct-08,A,8377.894737
1-Oct-08,AA,6534.615385
1-Oct-08,B,11349.875
1-Oct-08,C,6792.105263
1-Oct-08,D,5763.888889
1-Oct-08,E,3750
1-Oct-08,HR,1375
1-Apr-09,A,5000
1-Apr-09,AA,6000
1-Apr-09,B,12750
1-Apr-09,C,2900.5
1-Apr-09,D,3000
1-Jul-09,A,6621.074627
1-Jul-09,AA,6455.883721
1-Jul-09,B,10142.15789
1-Jul-09,C,5937.636364
1-Jul-09,D,5661.716981
1-Jul-09,E,3232.521739
1-Jul-09,HR,3914.064516
1-Oct-09,A,8135.107843
1-Oct-09,AA,8868.575
1-Oct-09,B,6295.625
1-Oct-09,C,5845.924051
1-Oct-09,D,5605.543478
1-Oct-09,E,4694.666667
1-Oct-09,HR,5599.29
1-Jan-10,A,7452.913043
1-Jan-10,AA,7702.605263
1-Jan-10,B,8580.85
1-Jan-10,C,6178.707692
1-Jan-10,D,5563.16129
1-Jan-10,E,4361.709677
1-Jan-10,HR,5353.073529
1-Apr-10,A,7820.898876
1-Apr-10,AA,7811.659574
1-Apr-10,B,6807.5
1-Apr-10,C,6179.954545
1-Apr-10,D,5738.719101
1-Apr-10,E,4635.366667
1-Apr-10,HR,4710.050847
1-Jul-10,A,7841.15
1-Jul-10,AA,7906.2
1-Jul-10,B,8754.611111
1-Jul-10,C,5374.137931
1-Jul-10,D,6990.053191
1-Jul-10,E,4251.192308
1-Jul-10,HR,5707.674419
1-Oct-10,A,8531.944444
1-Oct-10,AA,7779.666667
1-Oct-10,B,8410.388889
1-Oct-10,C,13000
1-Oct-10,D,5655.366667
1-Oct-10,E,6037.810345
1-Oct-10,HR,5558.118227
1-Jan-11,A,8969.95
1-Jan-11,AA,8551.59375
1-Jan-11,B,8421.929825
1-Jan-11,C,7101.351351
1-Jan-11,D,6067.677852
1-Jan-11,E,6835.083333
1-Jan-11,HR,6111.580645
1-Apr-11,A,9234.672727
1-Apr-11,AA,8676.893617
1-Apr-11,B,7137.205882
1-Apr-11,C,8026.01875
1-Apr-11,D,6679.759036
1-Apr-11,E,6083.992278
1-Apr-11,HR,6261.111111
1-Jul-11,A,8698.56446
1-Jul-11,AA,9998.076923
1-Jul-11,B,0
1-Jul-11,C,7433.514706
1-Jul-11,D,7344.19171
1-Jul-11,E,6018.980545
1-Jul-11,HR,5918.4875
1-Oct-11,A,8248.235452
1-Oct-11,AA,9509.193548
1-Oct-11,B,7583.283232
1-Oct-11,C,7654.348973
1-Oct-11,D,5640.6394
1-Oct-11,E,5900.538036
1-Oct-11,HR,5571.666667
1-Jan-12,A,9269.732579
1-Jan-12,AA,8940.219714
1-Jan-12,B,7777.758933
1-Jan-12,C,8000.966142
1-Jan-12,D,7437.307179
1-Jan-12,E,5800.823389
1-Jan-12,HR,3000
1-Apr-12,A,8756.398218
1-Apr-12,AA,11513.10667
1-Apr-12,B,8055.787822
1-Apr-12,C,7593.9016
1-Apr-12,D,6894.358105
1-Apr-12,E,6632.078762
1-Apr-12,HR,0
1-Jul-12,A,10233.1773
1-Jul-12,AA,8743.8125
1-Jul-12,B,7655.032509
1-Jul-12,C,7500.129098
1-Jul-12,D,8064.808303
1-Jul-12,E,7554.632995
1-Jul-12,HR,7071.233676
1-Oct-12,A,10743.0539
1-Oct-12,AA,11814.85714
1-Oct-12,B,8395.529929
1-Oct-12,C,8871.69988
1-Oct-12,D,7728.839749
1-Oct-12,E,7606.549769
1-Oct-12,HR,7289.410256
1-Jan-13,A,11248.96865
1-Jan-13,AA,13881.96165
1-Jan-13,B,9206.598333
1-Jan-13,C,8251.531579
1-Jan-13,D,7898.65
1-Jan-13,E,7854.113511
